id	name	abstract	data_type	default_task	attribute_type	n_instances	n_attrs	y	area	url	
140	Syskill and Webert Web Page Ratings	This database contains HTML source of web pages plus the ratings of a single user on these web pages. Web pages are on four seperate subjects (Bands- recording artists; Goats; Sheep; and BioMedical)	Multivariate, Text	Classification	Categorical	332	5	1998	Computer	http://archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings
141	UNIX User Data	This file contains 9 sets of sanitized user data drawn from the command histories of 8 UNIX computer users at Purdue over the course of up to 2 years.	Text, Sequential						Computer	http://archive.ics.uci.edu/ml/datasets/UNIX+User+Data
142	Volcanoes on Venus - JARtool experiment	The JARtool project was a pioneering effort to develop an automatic system for cataloging small volcanoes in the large set of Venus images returned by the Magellan spacecraft.	Image	Classification					Physical	http://archive.ics.uci.edu/ml/datasets/Volcanoes+on+Venus+-+JARtool+experiment
143	Statlog (Australian Credit Approval)	This file concerns credit card applications. This database exists elsewhere in the repository (Credit Screening Database) in a slightly different form	Multivariate	Classification	Categorical, Integer, Real	690	14		Financial	http://archive.ics.uci.edu/ml/datasets/Statlog+%28Australian+Credit+Approval%29
144	Statlog (German Credit Data)	This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix	Multivariate	Classification	Categorical, Integer	1000	20	1994	Financial	http://archive.ics.uci.edu/ml/datasets/Statlog+%28German+Credit+Data%29
145	Statlog (Heart)	This dataset is a heart disease database similar to a database already present in the repository (Heart Disease databases) but in a slightly different form	Multivariate	Classification	Categorical, Real	270	13		Life	http://archive.ics.uci.edu/ml/datasets/Statlog+%28Heart%29
146	Statlog (Landsat Satellite)	Multi-spectral values of pixels in 3x3 neighbourhoods in a satellite image, and the classification associated with the central pixel in each neighbourhood	Multivariate	Classification	Integer	6435	36	1993	Physical	http://archive.ics.uci.edu/ml/datasets/Statlog+%28Landsat+Satellite%29
147	Statlog (Image Segmentation)	This dataset is an image segmentation database similar to a database already present in the repository (Image segmentation database) but in a slightly different form.	Multivariate	Classification	Real	2310	19	1990	Other	http://archive.ics.uci.edu/ml/datasets/Statlog+%28Image+Segmentation%29
148	Statlog (Shuttle)	The shuttle dataset contains 9 attributes all of which are numerical. Approximately 80% of the data belongs to class 1	Multivariate	Classification	Integer	58000	9		Physical	http://archive.ics.uci.edu/ml/datasets/Statlog+%28Shuttle%29
149	Statlog (Vehicle Silhouettes)	3D objects within a 2D image by application of an ensemble of shape feature extractors to the 2D silhouettes of the objects.	Multivariate	Classification	Integer	946	18		Other	http://archive.ics.uci.edu/ml/datasets/Statlog+%28Vehicle+Silhouettes%29
150	Connectionist Bench (Nettalk Corpus)	The file "nettalk.data" contains a list of 20,008 English words, along with a phonetic transcription for each word. The task is to train a network to produce the proper phonemes	Multivariate		Categorical	20008	4		Other	http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29
151	Connectionist Bench (Sonar, Mines vs. Rocks)	The task is to train a network to discriminate between sonar signals bounced off a metal cylinder and those bounced off a roughly cylindrical rock.	Multivariate	Classification	Real	208	60		Physical	http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Sonar%2C+Mines+vs.+Rocks%29
152	Connectionist Bench (Vowel Recognition - Deterding Data)	Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.		Classification	Real	528	10		Other	http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Vowel+Recognition+-+Deterding+Data%29
153	Economic Sanctions	Domain Theory on Economic Sanctions; Undocumented	Domain-Theory						Financial	http://archive.ics.uci.edu/ml/datasets/Economic+Sanctions
154	Protein Data	Undocumented							Life	http://archive.ics.uci.edu/ml/datasets/Protein+Data
155	Cloud	Little Documentation	Multivariate		Real	1024	10	1989	Physical	http://archive.ics.uci.edu/ml/datasets/Cloud
156	CalIt2 Building People Counts	This data comes from the main door of the CalIt2 building at UCI.	Multivariate, Time-Series		Categorical, Integer	10080	4	2006	Other	http://archive.ics.uci.edu/ml/datasets/CalIt2+Building+People+Counts
157	Dodgers Loop Sensor	Loop sensor data was collected for the Glendale on ramp for the 101 North freeway in Los Angeles	Multivariate, Time-Series		Categorical, Integer	50400	3	2006	Other	http://archive.ics.uci.edu/ml/datasets/Dodgers+Loop+Sensor
158	Poker Hand	Purpose is to predict poker hands	Multivariate	Classification	Categorical, Integer	1025010	11	2007	Game	http://archive.ics.uci.edu/ml/datasets/Poker+Hand
159	MAGIC Gamma Telescope	Data are MC generated to simulate registration of high energy gamma particles in an atmospheric Cherenkov telescope	Multivariate	Classification	Real	19020	11	2007	Physical	http://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope
160	UJI Pen Characters	Data consists of written characters in a UNIPEN-like format	Multivariate, Sequential	Classification	Integer	1364		2007	Computer	http://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters
161	Mammographic Mass	Discrimination of benign and malignant mammographic masses based on BI-RADS attributes and the patient's age.	Multivariate	Classification	Integer	961	6	2007	Life	http://archive.ics.uci.edu/ml/datasets/Mammographic+Mass
162	Forest Fires	This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at: http://www.dsi.uminho.pt/~pcortez/forestfires).	Multivariate	Regression	Real	517	13	2008	Physical	http://archive.ics.uci.edu/ml/datasets/Forest+Fires
163	Reuters Transcribed Subset	This dataset is created by reading out 200 files from the 10 largest Reuters classes and using an Automatic Speech Recognition system to create corresponding transcriptions.	Text	Classification		200		2008	Business	http://archive.ics.uci.edu/ml/datasets/Reuters+Transcribed+Subset
164	Bag of Words	This data set contains five text collections in the form of bags-of-words.	Text	Clustering	Integer	8000000	100000	2008	Other	http://archive.ics.uci.edu/ml/datasets/Bag+of+Words
165	Concrete Compressive Strength	Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients.	Multivariate	Regression	Real	1030	9	2007	Physical	http://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength
166	Hill-Valley	Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a “bump” in the terrain) or a Valley (a “dip” in the terrain).	Sequential	Classification	Real	606	101	2008	Other	http://archive.ics.uci.edu/ml/datasets/Hill-Valley
167	Arcene	ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge.	Multivariate	Classification	Real	900	10000	2008	Life	http://archive.ics.uci.edu/ml/datasets/Arcene
168	Dexter	DEXTER is a text classification problem in a bag-of-word representation. This is a two-class classification problem with sparse continuous input variables. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.	Multivariate	Classification	Integer	2600	20000	2008	Other	http://archive.ics.uci.edu/ml/datasets/Dexter
169	Dorothea	DOROTHEA is a drug discovery dataset. Chemical compounds represented by structural molecular features must be classified as active (binding to thrombin) or inactive. This is one of 5 datasets of the NIPS 2003 feature selection challenge.	Multivariate	Classification	Integer	1950	100000	2008	Life	http://archive.ics.uci.edu/ml/datasets/Dorothea
170	Gisette	GISETTE is a handwritten digit recognition problem. The problem is to separate the highly confusible digits '4' and '9'. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.	Multivariate	Classification	Integer	13500	5000	2008	Computer	http://archive.ics.uci.edu/ml/datasets/Gisette
171	Madelon	MADELON is an artificial dataset, which was part of the NIPS 2003 feature selection challenge. This is a two-class classification problem with continuous input variables. The difficulty is that the problem is multivariate and highly non-linear.	Multivariate	Classification	Real	4400	500	2008	Other	http://archive.ics.uci.edu/ml/datasets/Madelon
172	Ozone Level Detection	Two ground ozone level data sets are included in this collection. One is the eight hour peak set (eighthr.data), the other is the one hour peak set (onehr.data). Those data were collected from 1998 to 2004 at the Houston, Galveston and Brazoria area.	Multivariate, Sequential, Time-Series	Classification	Real	2536	73	2008	Physical	http://archive.ics.uci.edu/ml/datasets/Ozone+Level+Detection
173	Abscisic Acid Signaling Network	The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network.  The dataset includes 300 separate boolean pseudodynamic simulations using an asynchronous update scheme.	Multivariate	Causal-Discovery	Integer	300	43	2008	Life	http://archive.ics.uci.edu/ml/datasets/Abscisic+Acid+Signaling+Network
174	Parkinsons	Oxford Parkinson's Disease Detection Dataset	Multivariate	Classification	Real	197	23	2008	Life	http://archive.ics.uci.edu/ml/datasets/Parkinsons
175	Character Trajectories	Multiple, labelled samples of pen tip trajectories recorded whilst writing individual characters. All samples are from the same writer, for the purposes of primitive extraction. Only characters with a single pen-down segment were considered.	Time-Series	Classification, Clustering	Real	2858	3	2008	Computer	http://archive.ics.uci.edu/ml/datasets/Character+Trajectories
176	Blood Transfusion Service Center	Data taken from the Blood Transfusion Service Center in Hsin-Chu City in Taiwan -- this is a classification problem.	Multivariate	Classification	Real	748	5	2008	Business	http://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center
177	UJI Pen Characters (Version 2)	A pen-based database with more than 11k isolated handwritten characters	Multivariate, Sequential	Classification	Integer	11640		2009	Computer	http://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters+%28Version+2%29
178	Semeion Handwritten Digit	1593 handwritten digits from around 80 persons were scanned, stretched in a rectangular box 16x16 in a gray scale of 256 values.	Multivariate	Classification	Integer	1593	256	2008	Computer	http://archive.ics.uci.edu/ml/datasets/Semeion+Handwritten+Digit
179	SECOM	Data from a semi-conductor manufacturing process	Multivariate	Classification, Causal-Discovery	Real	1567	591	2008	Computer	http://archive.ics.uci.edu/ml/datasets/SECOM
180	Plants	Data has been extracted from the USDA plants database. It contains all plants (species and genera) in the database and the states of USA and Canada where they occur.	Multivariate	Clustering	Categorical	22632	70	2008	Life	http://archive.ics.uci.edu/ml/datasets/Plants
181	Libras Movement	The data set contains 15 classes of 24 instances each. Each class references to a hand movement type in LIBRAS (Portuguesename 'LÍngua BRAsileira de Sinais', oficial brazilian signal language).	Multivariate, Sequential	Classification, Clustering	Real	360	91	2009	Other	http://archive.ics.uci.edu/ml/datasets/Libras+Movement
182	Concrete Slump Test	Concrete is a highly complex material. The slump flow of concrete is not only determined by the water content, but that is also influenced by other concrete ingredients.	Multivariate	Regression	Real	103	10	2009	Computer	http://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test
183	Communities and Crime	Communities within the United States. The data combines socio-economic data from the 1990 US Census, law enforcement data from the 1990 US LEMAS survey, and crime data from the 1995 FBI UCR.	Multivariate	Regression	Real	1994	128	2009	Social	http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime
184	Acute Inflammations	The data was created by a medical expert as a data set to test the expert system, which will perform the presumptive diagnosis of two diseases of the urinary system.	Multivariate	Classification	Categorical, Integer	120	6	2009	Life	http://archive.ics.uci.edu/ml/datasets/Acute+Inflammations
185	Wine Quality	Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/).	Multivariate	Classification, Regression	Real	4898	12	2009	Business	http://archive.ics.uci.edu/ml/datasets/Wine+Quality
186	URL Reputation	Anonymized 120-day subset of the ICML-09 URL data containing 2.4 million examples and 3.2 million features.	Multivariate, Time-Series	Classification	Integer, Real	2396130	3231961	2009	Computer	http://archive.ics.uci.edu/ml/datasets/URL+Reputation
187	p53 Mutants	The goal is to model mutant p53 transcriptional activity (active vs inactive) based on data extracted from biophysical simulations.	Multivariate	Classification	Real	16772	5409	2010	Life	http://archive.ics.uci.edu/ml/datasets/p53+Mutants
188	Parkinsons Telemonitoring	Oxford Parkinson's Disease Telemonitoring Dataset	Multivariate	Regression	Integer, Real	5875	26	2009	Life	http://archive.ics.uci.edu/ml/datasets/Parkinsons+Telemonitoring
189	Demospongiae	Marine sponges of the Demospongiae class classification domain.	Multivariate	Classification	Integer	503		2010	Life	http://archive.ics.uci.edu/ml/datasets/Demospongiae
190	Opinosis Opinion ⁄ Review	This dataset contains sentences extracted from user reviews on a given topic. Example topics are â€œperformance of Toyota Camryâ€� and â€œsound quality of ipod nanoâ€�.	Text			51		2010	Computer	http://archive.ics.uci.edu/ml/datasets/Opinosis+Opinion+%26frasl%3B+Review
191	Breast Tissue	Dataset with electrical impedance measurements of freshly excised tissue samples from the breast.	Multivariate	Classification	Real	106	10	2010	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Tissue
192	Cardiotocography	The dataset consists of measurements of fetal heart rate (FHR) and uterine contraction (UC) features on cardiotocograms classified by expert obstetricians.	Multivariate	Classification	Real	2126	23	2010	Life	http://archive.ics.uci.edu/ml/datasets/Cardiotocography
193	Wall-Following Robot Navigation Data	The data were collected as the SCITOS G5 robot navigates through the room following the wall in a clockwise direction, for 4 rounds, using 24 ultrasound sensors arranged circularly around its 'waist'.	Multivariate, Sequential	Classification	Real	5456	24	2010	Computer	http://archive.ics.uci.edu/ml/datasets/Wall-Following+Robot+Navigation+Data
194	Spoken Arabic Digit	This dataset contains timeseries of mel-frequency cepstrum coefficients (MFCCs) corresponding to spoken Arabic digits.  Includes data from 44 male and 44 female native Arabic speakers.	Multivariate, Time-Series	Classification	Real	8800	13	2010	Other	http://archive.ics.uci.edu/ml/datasets/Spoken+Arabic+Digit
195	Localization Data for Person Activity	Data contains recordings of five people performing different activities. Each person wore four sensors (tags) while performing the same scenario five times.	Univariate, Sequential, Time-Series	Classification	Real	164860	8	2010	Life	http://archive.ics.uci.edu/ml/datasets/Localization+Data+for+Person+Activity
196	AutoUniv	AutoUniv is an advanced data generator for classifications tasks. The aim is to reflect the nuances and heterogeneity of real data.  Data can be generated in .csv, ARFF or C4.5 formats.	Multivariate	Classification	Categorical, Integer, Real			2010	Other	http://archive.ics.uci.edu/ml/datasets/AutoUniv
197	Steel Plates Faults	A dataset of steel platesâ€™ faults, classified into 7 different types. The goal was to train machine learning for automatic pattern recognition.	Multivariate	Classification	Integer, Real	1941	27	2010	Physical	http://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults
198	MiniBooNE particle identification	This dataset is taken from the MiniBooNE experiment and is used to distinguish electron neutrinos (signal) from muon neutrinos (background).	Multivariate	Classification	Real	130065	50	2010	Physical	http://archive.ics.uci.edu/ml/datasets/MiniBooNE+particle+identification
199	YearPredictionMSD	Prediction of the release year of a song from audio features. Songs are mostly western, commercial tracks ranging from 1922 to 2011, with a peak in the year 2000s.	Multivariate	Regression	Real	515345	90	2011	Other	http://archive.ics.uci.edu/ml/datasets/YearPredictionMSD
200	PEMS-SF	15 months worth of daily data (440 daily records) that describes the occupancy rate, between 0 and 1, of different car lanes of the San Francisco bay area freeways across time.	Multivariate, Time-Series	Classification	Real	440	138672	2011	Computer	http://archive.ics.uci.edu/ml/datasets/PEMS-SF
201	OpinRank Review Dataset	This data set contains user reviews of cars and and hotels collected from Tripadvisor (~259,000 reviews) and Edmunds (~42,230 reviews).	Text					2011	Computer	http://archive.ics.uci.edu/ml/datasets/OpinRank+Review+Dataset
202	Relative location of CT slices on axial axis	The dataset consists of 384 features extracted from CT images. The class variable is numeric and denotes the relative location of the CT slice on the axial axis of the human body.	Domain-Theory	Regression	Real	53500	386	2011	Computer	http://archive.ics.uci.edu/ml/datasets/Relative+location+of+CT+slices+on+axial+axis
203	Online Handwritten Assamese Characters Dataset	This is a dataset of 8235 online handwritten assamese characters. The â€œonlineâ€� process involves capturing of data as text is written on a digitizing tablet with an electronic pen.	Multivariate, Sequential	Classification	Integer	8235		2011	Computer	http://archive.ics.uci.edu/ml/datasets/Online+Handwritten+Assamese+Characters+Dataset
204	PubChem Bioassay Data	These highly imbalanced bioassay datasets are from the differing types of screening that can be performed using HTS technology. 21 datasets were created from 12 bioassays.	Multivariate	Classification	Integer, Real			2011	Life	http://archive.ics.uci.edu/ml/datasets/PubChem+Bioassay+Data
205	Record Linkage Comparison Patterns	Element-wise comparison of records with personal data from a record linkage setting. The task is to decide from a comparison pattern whether the underlying records belong to one person.	Multivariate	Classification	Real	5749132	12	2011	Other	http://archive.ics.uci.edu/ml/datasets/Record+Linkage+Comparison+Patterns
206	Communities and Crime Unnormalized	Communities in the US. Data combines socio-economic data from the '90 Census, law enforcement data from the 1990 Law Enforcement Management and Admin Stats survey, and crime data from the 1995 FBI UCR	Multivariate	Regression	Real	2215	147	2011	Social	http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized
207	Vertebral Column	Data set containing values for six biomechanical features used to classify orthopaedic patients into 3 classes (normal, disk hernia or spondilolysthesis) or 2 classes (normal or abnormal).	Multivariate	Classification	Real	310	6	2011		http://archive.ics.uci.edu/ml/datasets/Vertebral+Column
208	EMG Physical Action Data Set	The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 4 subjects using the Delsys EMG wireless apparatus.	Time-Series	Classification	Real	10000	8	2011	Physical	http://archive.ics.uci.edu/ml/datasets/EMG+Physical+Action+Data+Set
209	Vicon Physical Action Data Set	The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 10 subjects using the Vicon 3D tracker.	Time-Series	Classification	Real	3000	27	2011	Physical	http://archive.ics.uci.edu/ml/datasets/Vicon+Physical+Action+Data+Set
210	Amazon Commerce reviews set	The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.	Multivariate, Text, Domain-Theory	Classification	Real	1500	10000	2011	Physical	http://archive.ics.uci.edu/ml/datasets/Amazon+Commerce+reviews+set
211	Amazon Access Samples	Amazon's InfoSec is getting smarter about the way Access data is leveraged. This is an anonymized sample of access provisioned within the company.	Time-Series, Domain-Theory	Regression, Clustering, Causal-Discovery		30000	20000	2011	Business	http://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples
212	Reuter_50_50	The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.	Multivariate, Text, Domain-Theory	Classification, Clustering	Real	2500	10000	2011	Computer	http://archive.ics.uci.edu/ml/datasets/Reuter_50_50
213	Farm Ads	This data was collected from text ads found on twelve websites that deal with various farm animal related topics.  The binary labels are based on whether or not the content owner approves of the ad.	Text	Classification		4143	54877	2011	Business	http://archive.ics.uci.edu/ml/datasets/Farm+Ads
214	DBWorld e-mails	It contains 64 e-mails which I have manually collected from DBWorld mailing list. They are classified in: 'announces of conferences' and 'everything else'.	Text	Classification		64	4702	2011	Computer	http://archive.ics.uci.edu/ml/datasets/DBWorld+e-mails
215	KEGG Metabolic Relation Network (Directed)	KEGG Metabolic pathways modeled as directed relation network. Variety of graphical features presented.	Multivariate, Univariate, Text	Classification, Regression, Clustering	Integer, Real	53414	24	2011	Life	http://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Relation+Network+%28Directed%29
216	KEGG Metabolic Reaction Network (Undirected)	KEGG Metabolic pathways modeled as un-directed reaction network. Variety of graphical features presented.	Multivariate, Univariate, Text	Classification, Regression, Clustering	Integer, Real	65554	29	2011	Life	http://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Reaction+Network+%28Undirected%29
217	Bank Marketing	The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).	Multivariate	Classification	Real	45211	17	2012	Business	http://archive.ics.uci.edu/ml/datasets/Bank+Marketing
218	YouTube Comedy Slam Preference Data	This dataset provides user vote data on which video from a pair of videos is funnier collected on YouTube Comedy Slam. The task is to automatically predict this preference based on video metadata.	Text	Classification		1138562	3	2012	Computer	http://archive.ics.uci.edu/ml/datasets/YouTube+Comedy+Slam+Preference+Data
219	Gas Sensor Array Drift Dataset	This archive contains 13910 measurements from 16 chemical sensors utilized in simulations for drift compensation in a discrimination task of 6 gases at various levels of concentrations.	Multivariate	Classification	Real	13910	128	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset
220	ILPD (Indian Liver Patient Dataset)	This data set contains 10 variables that are age, gender, total Bilirubin, direct Bilirubin, total proteins, albumin, A/G ratio, SGPT, SGOT and Alkphos.	Multivariate	Classification	Integer, Real	583	10	2012	Life	http://archive.ics.uci.edu/ml/datasets/ILPD+%28Indian+Liver+Patient+Dataset%29
221	OPPORTUNITY Activity Recognition	The OPPORTUNITY Dataset for Human Activity Recognition from Wearable, Object, and Ambient Sensors is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc).	Multivariate, Time-Series	Classification	Real	2551	242	2012	Computer	http://archive.ics.uci.edu/ml/datasets/OPPORTUNITY+Activity+Recognition
222	Nomao	Nomao collects data about places (name, phone, localization...) from many sources.Deduplication consists in detecting what data refer to the same place.Instances in the dataset compare 2 spots.	Univariate	Classification	Real	34465	120	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Nomao
223	SMS Spam Collection	The SMS Spam Collection is a public set of SMS labeled messages that have been collected for mobile phone spam research.	Multivariate, Text, Domain-Theory	Classification, Clustering	Real	5574		2012	Computer	http://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection
224	Skin Segmentation	The Skin Segmentation dataset is constructed over B, G, R color space. Skin and Nonskin dataset is generated using skin textures from face images of diversity of age, gender, and race people.	Univariate	Classification	Real	245057	4	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Skin+Segmentation
225	Planning Relax	The dataset concerns with the classification of two mental stages from recorded EEG signals: Planning (during imagination of motor act) and Relax state.	Univariate	Classification	Real	182	13	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Planning+Relax
226	PAMAP2 Physical Activity Monitoring	The PAMAP2 Physical Activity Monitoring dataset contains data of 18 different physical activities, performed by 9 subjects wearing 3 inertial measurement units and a heart rate monitor.	Multivariate, Time-Series	Classification	Real	3850505	52	2012	Computer	http://archive.ics.uci.edu/ml/datasets/PAMAP2+Physical+Activity+Monitoring
227	Restaurant & consumer data	The dataset was obtained from a recommender system prototype. The task was to generate a top-n list of restaurants according to the consumer preferences.	Multivariate			138	47	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Restaurant+%26+consumer+data
228	CNAE-9	This is a data set containing 1080 documents of free text business descriptions of Brazilian companies categorized into asubset of 9 categories	Multivariate, Text	Classification	Integer	1080	857	2012	Business	http://archive.ics.uci.edu/ml/datasets/CNAE-9
229	Individual household electric power consumption	Measurements of electric power consumption in one household with a one-minute sampling rate over a period of almost 4 years. Different electrical quantities and some sub-metering values are available.	Multivariate, Time-Series	Regression, Clustering	Real	2075259	9	2012	Physical	http://archive.ics.uci.edu/ml/datasets/Individual+household+electric+power+consumption
230	seeds	Measurements of geometrical properties of kernels belonging to three different varieties of wheat. A soft X-ray technique and GRAINS package were used to construct all seven, real-valued attributes.	Multivariate	Classification, Clustering	Real	210	7	2012	Life	http://archive.ics.uci.edu/ml/datasets/seeds
231	Northix	Northix is designed to be a schema matching benchmark problem for data integration of two entity relationship databases.	Multivariate, Univariate, Text	Classification	Integer, Real	115	200	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Northix
232	QtyT40I10D100K	Since there is no numerical sequential data stream available in standard data sets, this data set is generated from the original T40I10D100K data set	Sequential		Integer	3960456	4	2012		http://archive.ics.uci.edu/ml/datasets/QtyT40I10D100K
233	Legal Case Reports	A textual corpus of 4000 legal cases for automatic summarization and citation analysis. For each document we collect catchphrases, citations sentences, citation catchphrases and citation classes.	Text	Classification				2012	Other	http://archive.ics.uci.edu/ml/datasets/Legal+Case+Reports
234	Human Activity Recognition Using Smartphones	Human Activity Recognition database built from the recordings of 30 subjects performing activities of daily living (ADL) while carrying a waist-mounted smartphone with embedded inertial sensors.	Multivariate, Time-Series	Classification, Clustering		10299	561	2012	Computer	http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones
235	One-hundred plant species leaves data set	Sixteen samples of leaf each of one-hundred plant species. For each sample, a shape descriptor, fine scale margin and texture histogram are given.		Classification	Real	1600	64	2012	Life	http://archive.ics.uci.edu/ml/datasets/One-hundred+plant+species+leaves+data+set
